Customer Query,Intent,,,,,,,
How much baggage am I allowed to carry?,Baggage,,,,,,,
What if I exceed my free baggage weight allowance?,Baggage,,,,,,,
What items are not permitted on flight?,Baggage,,,,,,,
What items are considered as special baggage and how can I carry them?,Baggage,,,,,,,
How much luggage is allowed on flights?,Baggage,,,,,,,
I am travelling in Business Class; what is the maximum weight allowed for my checked bag?,Baggage,,,,,,,
My baggage weighs 25kg (55lb). Is it possible to pay for two extra kilos?,Baggage,,,,,,,
Does my baggage allowance change when I upgrade my travel class?,Baggage,,,,,,,
My ticket class is “Economy”. What’s my baggage allowance?,Baggage,,,,,,,
My ticket type is Light. I am travelling with one checked bag and one weapon case. How many additional pieces of baggage do I need to purchase?,Baggage,,,,,,,
What is my checked/hold baggage allowance?,Baggage,,,,,,,
Can I  carry 12kg of carry-on baggage?,Baggage,,,,,,,
Will my carry-on baggage be measured?,Baggage,,,,,,,
Can I take more carry-on baggage if I pay an extra fee?,Baggage,,,,,,,
What are the baggage allowances for infants and children?,Baggage,,,,,,,
Can I take a folding pushchair into the cabin?,Baggage,,,,,,,
What can I take in my carry-on baggage?,Baggage,,,,,,,
Can I carry a razor in my carry-on baggage?,Baggage,,,,,,,
Can I take an umbrella (not foldable) to the cabin?,Baggage,,,,,,,
What is a heavy bag?,Baggage,,,,,,,
How can I pay for extra baggage if one of the flights in my itinerary is not operated by Finnair?,Baggage,,,,,,,
What should I do if my baggage is lost or damaged?,Baggage,,,,,,,
Can I transport a computer or a television screen as checked baggage?,Baggage,,,,,,,
Does my baggage go straight to destination?,Baggage,,,,,,,
Why can’t I pay for the extra baggage in advance?,Baggage,,,,,,,
I paid for extra baggage. Why does my ticket still show the original allowance?,Baggage,,,,,,,
"If I'm travelling on an Economy Lite fare with another passenger and carrying 1 bag of 20kg, will I have to pay any extra baggage charges?",Baggage,,,,,,,
How much Hand Baggage can I carry on my Vistara flight?,Baggage,,,,,,,
How much will I be charged in case of an oversized item?,Baggage,,,,,,,
What is the check-in baggage allowance?,Baggage,,,,,,,
What is the hand baggage allowance?,Baggage,,,,,,,
"What is the maximum weight of one bag in Economy, Premium Economy and Business?",Baggage,,,,,,,
Are there any items I cannot carry on board a Vistara flight?,Baggage,,,,,,,
Can I carry medicines on board a Vistara flight?,Baggage,,,,,,,
What items are not allowed in baggage?,Baggage,,,,,,,
What is the size of Hand baggage?,Baggage,,,,,,,
"I am travelling with an infant, will I get additional baggage allowance?",Baggage,,,,,,,
What extra items are allowed in the cabin in addition to the hand baggage?,Baggage,,,,,,,
Can I pre-purchase Excess baggage if I am travelling on an Interline/Codeshare ticket?,Baggage,,,,,,,
Where can I collect my oversize baggage from?,Baggage,,,,,,,
What are the charges for Oversize baggage?,Baggage,,,,,,,
Which items are allowed in the luggage?,Baggage,,,,,,,
Which items are restricted in luggage,Baggage,,,,,,,
Items allowed in carry on bags,Baggage,,,,,,,
Can I take a knife with me?,Baggage,,,,,,,
How do I book car parking online?,Parking,,,,,,,
How close to my date/time of travel can I pre-book car parking online?,Parking,,,,,,,
Can pre-booked customers arrive before the pre-booked arrival time?,Parking,,,,,,,
What methods of payment can I use to pre-book parking online?,Parking,,,,,,,
"I haven’t pre-booked online, can I still use the car park facilities?",Parking,,,,,,,
How do I know if my car park booking has been accepted?,Parking,,,,,,,
How far in advance can I pre-book car parking?,Parking,,,,,,,
What is the normal charge for parking in the Short Term car park when I don't book online?,Parking,,,,,,,
Is it possible to amend or cancel a car park booking?,Parking,,,,,,,
